toxidrome,smiles,model
Opioid,CN1CC[C@@]23c4c5CC1[C@]2(C\C=C\c6ccccc6)Cc7c([nH]c8ccccc78)[C@]3(C)Oc4c(O)cc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)\C(=C\2/C[C@H]3CC[C@@H](C2)N3CC=C)\c4ccccc4,pEC50_Delta
Opioid,O=C(N1CCCC1)c2ccc(cc2)C(=C3CC4CCC(C3)N4CCc5ccccc5)c6ccccc6,pEC50_Delta
Opioid,O=C(N1CCOCC1)c2ccc(cc2)C(=C3CC4CCC(C3)N4CCc5ccccc5)c6ccccc6,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3Cc4ccc5OCOc5c4)c6ccccc6,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4c[nH]c5ccccc45)c6ccccc6,pEC50_Delta
Opioid,O=S(=O)(Nc1ccccc1)N2CCC(CC2)(c3ccccc3)c4nccn4Cc5ccccc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCC4CCCCC4)c5ccccc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CC(=O)c4ccccc4)c5ccccc5,pEC50_Delta
Opioid,CCCN(CCC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5ccccc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(c4)C(=O)N,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4cccs4)c5ccccc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccc(F)cc4)c5ccccc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCOc4ccccc4)c5ccccc5,pEC50_Delta
Opioid,CCCN1C2CCC1CC(=C(c3ccccc3)c4ccc(cc4)C(=O)N(CC)CC)C2,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCCc4ccccc4)c5ccccc5,pEC50_Delta
Opioid,CC(C)N(C(C)C)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5ccccc5,pEC50_Delta
Opioid,CN1CCC23C4Oc5c(O)ccc(CC1C2(O)Cc6cnc(C)nc46)c35,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@@]2(Cc6c4[nH]c7ccccc67)NC(=O)Cc8ccccc8)c35,pEC50_Delta
Opioid,CN1CCC23C4Oc5c(O)ccc(CC1C2(O)Cc6cnc(nc46)c7ccccc7)c35,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@@]2(Cc6c4[nH]c7ccccc67)NCCc8ccccc8)c35,pEC50_Delta
Opioid,CCCC[C@H](N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,pEC50_Delta
Opioid,CN1CC[C@@]23c4c5C[C@@H]1[C@]2(CCCc6ccccc6)Cc7c([nH]c8ccccc78)[C@]3(C)Oc4c(O)cc5,pEC50_Delta
Opioid,COC(=O)[C@@H]1C[C@H](OC(=O)Nc2ccccc2)C(=O)[C@H]3[C@@]1(C)CC[C@H]4C(=O)O[C@@H](C[C@]34C)c5cocc5,pEC50_Delta
Opioid,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(cc2)C(=O)N)C(=O)O,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3C)c4cccc(O)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)\C(=C\2/C[C@H]3CC[C@@H](C2)N3CCc4ccccc4)\c5ccccc5,pEC50_Delta
Opioid,CCCC[C@H](N(C)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,pEC50_Delta
Opioid,NC(=O)c1ccc2C[C@H]3N(CC4CC4)CC[C@@]5(CC(=O)CC[C@@]35O)c2c1O,pEC50_Delta
Opioid,C[C@H]1C2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCCc5ccc(cc5)c6ccccc6,pEC50_Delta
Opioid,C[C@H]1C2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCCc5ccc(cc5)c6ccc(Cl)cc6,pEC50_Delta
Opioid,C[C@H]1C2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCCc5ccc(Br)cc5,pEC50_Delta
Opioid,C[C@H]1C2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCCc5cccc(Br)c5,pEC50_Delta
Opioid,C[C@H]1C2Cc3ccc(cc3[C@@]1(C)CCN2CC4CC4)C(=O)NCCc5cccc(c5)c6ccccc6,pEC50_Delta
Opioid,C[C@H]1[C@H]2Cc3ccc(cc3[C@]1(C)CCN2CC4CC4)C(=O)NCCc5ccc(cc5)c6ccccc6,pEC50_Delta
Opioid,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2C(=O)NCCC(=O)Oc4ccc5C[C@@H]6[C@@H]7CCCC[C@]7(CCN6CC8CCC8)c5c4,pEC50_Delta
Opioid,C[C@H]1[C@@H]2CC[C@H](CN2CC[C@@]1(C)c3cccc(O)c3)c4ccccc4,pEC50_Delta
Opioid,CCN(CCO)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5ccccc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3C)c4ccc(OC)cc4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3)c4ccc(O)cc4,pEC50_Delta
Opioid,COc1ccc2C[C@@H]3[C@@H]4Cc5c(C[C@]4(CCN3CC6CC6)c2c1)[nH]c7ccccc57,pEC50_Delta
Opioid,CN1CC[C@]23Cc4[nH]c5ccccc5c4C[C@H]2[C@H]1Cc6ccc(O)cc36,pEC50_Delta
Opioid,Oc1ccc2C[C@@H]3[C@@H]4Cc5c(C[C@]4(CCN3CC6CCC6)c2c1)[nH]c7ccccc57,pEC50_Delta
Opioid,CN1CC[C@]23Cc4nc(N)sc4C[C@H]2[C@H]1Cc5ccc(O)cc35,pEC50_Delta
Opioid,Nc1nc2C[C@]34CCN(CC5CCC5)[C@H](Cc6ccc(O)cc36)[C@@H]4Cc2s1,pEC50_Delta
Opioid,Oc1ccc2C[C@@H]3[C@@H]4Cc5c(C[C@]4(CCN3CC6CC6)c2c1)[nH]c7ccccc57,pEC50_Delta
Opioid,COc1ccc2C[C@@H]3[C@@H]4Cc5c(C[C@]4(CCN3CC6CCC6)c2c1)[nH]c7ccccc57,pEC50_Delta
Opioid,Nc1nc2C[C@]34CCN(CC5CC5)[C@H](Cc6ccc(O)cc36)[C@@H]4Cc2s1,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)Cc6c4[nH]c7ccc(F)cc67)c35,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35NC(=O)\C=C\c6ccc(Cl)cc6,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCc6cc(cc(c6)C(F)(F)F)C(F)(F)F,pEC50_Delta
Opioid,CC1(CCCCCCC1)N2CCC(CC2)n3c(nc4ccccc34)[C@@H]5CCCNC5,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccc(Cl)c(Cl)c7,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccc(Cl)cc7,pEC50_Delta
Opioid,C[C@@H](N(C)C(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)CC(=O)N,pEC50_Delta
Opioid,COc1cccc(c1)c2ccc(CCNC(=O)c3ccc4CC5C(C)C(C)(CCN5CC6CC6)c4c3)cc2,pEC50_Delta
Opioid,CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,pEC50_Delta
Opioid,CN1CCC[C@H](C1)c2nc3ccccc3n2C4CCN(CC4)C5(C)CCCCCCC5,pEC50_Delta
Opioid,CC1(CCCCCCC1)N2CCC(CC2)n3c(nc4ccccc34)[C@H]5CCCNC5,pEC50_Delta
Opioid,CN1CCC[C@@H](C1)c2nc3ccccc3n2C4CCN(CC4)C5(C)CCCCCCC5,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccncc7,pEC50_Delta
Opioid,COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36OC(=O)\C=C\c7ccccc7,pEC50_Delta
Opioid,CN1CC[C@]23Cc4c(C[C@@]2(C1)Cc5ccc(O)cc35)c6ccccc6n4C,pEC50_Delta
Opioid,Oc1ccc2C[C@@]34CN(CC5CC5)CC[C@@]3(Cc6[nH]c7ccccc7c6C4)c2c1,pEC50_Delta
Opioid,CCN(CC)C(=O)c1oc(cc1)C2=CC3(CCNCC3)Oc4ccccc24,pEC50_Delta
Opioid,CCN(CC)C(=O)c1cc(cs1)C2=CC3(CCNCC3)Oc4ccccc24,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc4ccccc24)c(C)c1,pEC50_Delta
Opioid,NC(=O)c1ccc(cc1)C2=CC3(CCNCC3)Oc4ccccc24,pEC50_Delta
Opioid,CN(Cc1ccccc1)C(=O)c2ccc(cc2)C3=CC4(CCNCC4)Oc5ccccc35,pEC50_Delta
Opioid,O=C(N1Cc2ccccc2C1)c3ccc(cc3)C4=CC5(CCNCC5)Oc6ccccc46,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CC=C)CC2)c3ccccc3,pEC50_Delta
Opioid,CO[C@]12C=CC3(CC14CCC[C@H]4O)C5Cc6ccc(O)c7O[C@H]2C3(CCN5C)c67,pEC50_Delta
Opioid,CO[C@]12C=CC3(CC14CCC(C)(C)[C@H]4O)C5Cc6ccc(O)c7O[C@H]2C3(CCN5C)c67,pEC50_Delta
Opioid,CO[C@]12C=CC3(CC14CCC(C)(C)[C@H]4O)C5Cc6ccc(O)c7O[C@H]2C3(CCN5CC8CC8)c67,pEC50_Delta
Opioid,CO[C@]12C=CC3(CC14CCC[C@H]4O)C5Cc6ccc(O)c7O[C@H]2C3(CCN5CC8CC8)c67,pEC50_Delta
Opioid,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@H](Cc3ccccc3)C(=O)N[C@H]1C(=O)O,pEC50_Delta
Opioid,CC[C@@H]1CN2CC[C@]3(Nc4cccc(OC)c4C3=O)[C@@H]2C[C@@H]1\C(=C/OC)\C(=O)OC,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3C)c4cccc(OC)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3C)c4ccc(O)cc4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)\C(=C\2/C[C@H]3CC[C@@H](C2)N3C)\c4ccccc4,pEC50_Delta
Opioid,COCCN(CCOC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5ccccc5,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4ccccc4)c5cccc(OC)c5,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]4([C@H]5C(=O)CC[C@@]34C/C/5=C\c6ccccc6)c2c1O,pEC50_Delta
Opioid,CN1CC[C@@]23c4c5CC1[C@]2(CC=C(C)C)Cc6c([nH]c7ccccc67)[C@]3(C)Oc4c(O)cc5,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]4([C@@H]5C(=C(C)C)C[C@]34Cc6c5[nH]c7ccccc67)c2c1O,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]4([C@H]5C(=O)CC[C@@]34C/C/5=C(/C)\c6ccccc6)c2c1O,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]4([C@@H]5\C(=C\c6ccccc6)\C[C@]34Cc7c5[nH]c8ccccc78)c2c1O,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]4([C@@H]5\C(=C(/C)\c6ccccc6)\C[C@]34Cc7c5[nH]c8ccccc78)c2c1O,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]4([C@@H]5\C(=C\C)\C[C@]34Cc6c5[nH]c7ccccc67)c2c1O,pEC50_Delta
Opioid,CN1CCC23C4Oc5c(O)ccc(CC1C2(O)CC6=C4NC(=O)N=C6)c35,pEC50_Delta
Opioid,CN1CCC23C4Oc5c(O)ccc(CC1C2(O)Cc6cnc(N)nc46)c35,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c(cn(Cc7ccccc7)c46)c8ccccc8)c35,pEC50_Delta
Opioid,CO[C@@]12CCC3(C[C@H]1[C@@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2C3(CCN4C)c56,pEC50_Delta
Opioid,COc1cccc(NC(=O)N2CCC(CC2)(c3ccccc3)c4nccn4Cc5ccccc5)c1,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35NC(=O)\C=C\c6ccccc6Cl,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35NC(=O)\C=C\c6ccccc6C,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@@]2(CCC4=O)NC(=O)\C=C\c6ccccc6C)c35,pEC50_Delta
Opioid,COc1ccc2CC3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35NC(=O)\C=C\c6ccc(C)cc6,pEC50_Delta
Opioid,CCn1c2CCCCc2c3C[C@@]4(O)C5Cc6ccc(O)c7O[C@@H](c13)[C@]4(CCN5CC8CC8)c67,pEC50_Delta
Opioid,Oc1ccc2CC3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7c(C[C@@]36O)c8CCCCc8n7CC9CC9,pEC50_Delta
Opioid,Oc1ccc2CC3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7c(C[C@@]36O)c8CCCCc8n7CC9CCCCC9,pEC50_Delta
Opioid,Oc1ccc2CC3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7c(C[C@@]36O)c8CCCCc8n7CCc9ccccc9,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c7CCCCc7n(C)c46)c35,pEC50_Delta
Opioid,CCn1c2CCCCc2c3C[C@@]4(O)C5Cc6ccc(O)c7O[C@@H](c13)[C@]4(CCN5C)c67,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c7CCCCc7n(Cc8ccccc8)c46)c35,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c7CCCCc7n(CC8CCCCC8)c46)c35,pEC50_Delta
Opioid,CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c7CCCCc7n(CCc8ccccc8)c46)c35,pEC50_Delta
Opioid,CO[C@]12C(O)C[C@@]3(C[C@@H]1[C@H](C)O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4C)c56,pEC50_Delta
Opioid,CO[C@]12C(O)C[C@@]3(C[C@@H]1[C@@H](C)O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4C)c56,pEC50_Delta
Opioid,CO[C@]12CC(O)[C@@]3(C[C@@H]1[C@H](C)O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4C)c56,pEC50_Delta
Opioid,CO[C@]12CC(O)[C@@]3(C[C@@H]1[C@@H](C)O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4C)c56,pEC50_Delta
Opioid,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(cc2)C(=O)N)C(=O)N,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2ccc(N)cc2)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2cccc(c2)C(=O)N)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2c(C)cc(cc2C)C(=O)N)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2ccc3nc(N)sc3c2)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2c(C)cc(cc2C)C(=O)N)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc3nc(N)sc3c2)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2cccc(c2)C(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2c(C)cc(cc2C)C(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)O,pEC50_Delta
Opioid,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc3nc(N)sc3c2)C(=O)N[C@@H]([C@@H](C)O)C(=O)O,pEC50_Delta
Opioid,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2ccc3nc(N)sc3c2)C(=O)O,pEC50_Delta
Opioid,COc1ccc(cc1)c2ccc(CCNC(=O)c3ccc4CC5[C@H](C)[C@](C)(CCN5CC6CC6)c4c3)cc2,pEC50_Delta
Opioid,COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36NC(=O)C#Cc7ccccc7,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccc(I)cc7,pEC50_Delta
Opioid,NC(=O)c1ccc2C[C@H]3N(CC4CCC4)CC[C@@]5(C[C@H](O)CC[C@@]35O)c2c1O,pEC50_Delta
Opioid,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccc(Br)cc7,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(CN(C)C)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(C=O)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(c4)C(=O)C,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(CO)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(c4)C(=O)NC,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(N)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(NC(=O)OC)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(NS(=O)(=O)C)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(NC(=O)C)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(C)CC2)c3cccc(O)c3,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3ccccc3)CC2)c4cccc(OC)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3cccs3)CC2)c4cccc(OC)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3cocc3)CC2)c4cccc(OC)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3ncc[nH]3)CC2)c4cccc(OC)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3ccccc3F)CC2)c4cccc(O)c4,pEC50_Delta
Opioid,CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3ccncc3)CC2)c4cccc(O)c4,pEC50_Delta
